Finite Time (ns): ,3400,,Fuzzy Time (ns): ,2071300
Finite Time (ns): ,3800,,Fuzzy Time (ns): ,2522300
Finite Time (ns): ,3100,,Fuzzy Time (ns): ,2902900
Finite Time (ns): ,4800,,Fuzzy Time (ns): ,3310300
Finite Time (ns): ,3400,,Fuzzy Time (ns): ,3269900
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,2119600
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1776500
Finite Time (ns): ,2900,,Fuzzy Time (ns): ,3084700
Finite Time (ns): ,3400,,Fuzzy Time (ns): ,3245800
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,2069200
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1742800
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1834700
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1904600
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,1997400
Finite Time (ns): ,3500,,Fuzzy Time (ns): ,2935100
Finite Time (ns): ,4300,,Fuzzy Time (ns): ,1848900
Finite Time (ns): ,2800,,Fuzzy Time (ns): ,1865600
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1753100
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1843500
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,1933300
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,1890300
Finite Time (ns): ,3500,,Fuzzy Time (ns): ,1230900
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,1877000
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,2090500
Finite Time (ns): ,3200,,Fuzzy Time (ns): ,2623900
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,2638500
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,2608500
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,1896000
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1893600
Finite Time (ns): ,2900,,Fuzzy Time (ns): ,953100
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1002300
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1042000
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,920400
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,833100
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,759800
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1343400
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1347700
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,1348400
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,1298100
Finite Time (ns): ,900,,Fuzzy Time (ns): ,884000
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,682600
Finite Time (ns): ,900,,Fuzzy Time (ns): ,778200
Finite Time (ns): ,900,,Fuzzy Time (ns): ,856500
Finite Time (ns): ,800,,Fuzzy Time (ns): ,856300
Finite Time (ns): ,700,,Fuzzy Time (ns): ,831200
Finite Time (ns): ,800,,Fuzzy Time (ns): ,992900
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,952600
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1119900
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,1438700
Finite Time (ns): ,900,,Fuzzy Time (ns): ,1502800
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,882800
Finite Time (ns): ,900,,Fuzzy Time (ns): ,717900
Finite Time (ns): ,800,,Fuzzy Time (ns): ,786400
Finite Time (ns): ,700,,Fuzzy Time (ns): ,744800
Finite Time (ns): ,700,,Fuzzy Time (ns): ,741900
Finite Time (ns): ,900,,Fuzzy Time (ns): ,1035000
Finite Time (ns): ,900,,Fuzzy Time (ns): ,715200
Finite Time (ns): ,700,,Fuzzy Time (ns): ,666700
Finite Time (ns): ,800,,Fuzzy Time (ns): ,665800
Finite Time (ns): ,800,,Fuzzy Time (ns): ,662400
Finite Time (ns): ,800,,Fuzzy Time (ns): ,688000
Finite Time (ns): ,700,,Fuzzy Time (ns): ,668700
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,682200
Finite Time (ns): ,500,,Fuzzy Time (ns): ,675700
Finite Time (ns): ,600,,Fuzzy Time (ns): ,678900
Finite Time (ns): ,700,,Fuzzy Time (ns): ,670200
Finite Time (ns): ,600,,Fuzzy Time (ns): ,667000
